,Unnamed: 0,draft_season,player_id,player_name,position,height,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,overall_pick,draft_type,organization,organization_type,player_profile_flag
0,0,2013,203500,Steven Adams,C,82.75,84.0,254.5,88.5,109.5,6.65,9.5,11.0,28.5,33.0,11.85,3.02,3.4,16,0.8,0.6,0.8,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Draft,Pittsburgh,College/University,1.0
1,1,2013,203505,Vander Blue,SG,75.5,77.25,197.4,78.0,100.5,4.6,8.5,9.5,28.0,37.5,10.4,2.7,3.14,4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.8,0.8,0.4,0.8,0.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2,2,2013,203485,Lorenzo Brown,PG,76.0,77.25,189.2,79.0,100.0,3.95,8.25,8.5,28.0,34.0,11.78,3.24,3.4,8,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.6,0.8,0.8,0.6,0.2,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,Draft,North Carolina State,College/University,1.0
3,3,2013,203493,Reggie Bullock,SG-SF,77.75,79.0,199.8,80.75,102.0,6.95,8.5,9.0,31.0,36.5,11.33,3.3,3.31,11,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.6,1.0,0.8,0.4,1.0,0.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Draft,North Carolina,College/University,1.0
4,4,2013,203484,Kentavious Caldwell-Pope,SG,76.5,77.5,203.6,80.0,100.5,6.45,8.5,9.0,29.0,34.5,10.6,3.2,3.12,7,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4,0.6,0.6,0.2,0.6,0.8,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Draft,Georgia,College/University,1.0
5,5,2013,203477,Isaiah Canaan,PG,71.0,72.0,188.4,76.5,94.5,5.9,8.25,9.5,33.0,40.5,10.98,2.89,3.22,16,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4,0.8,0.8,0.8,0.4,0.6,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Draft,Murray State,College/University,1.0
6,6,2013,203478,Jackie Carmichael,PF,79.5,81.0,241.2,85.5,107.0,5.8,9.0,10.25,30.0,32.0,11.83,3.07,3.35,13,0.4,0.6,1.0,0.8,0.6,0.4,0.4,0.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
7,7,2013,12524,Will Clyburn,SF-SG,77.75,79.0,210.4,84.25,105.0,6.85,9.25,10.25,28.0,34.5,11.68,3.12,3.38,3,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.2,0.2,1.0,0.2,0.8,0.8,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
8,8,2013,203496,Robert Covington,SF-PF,78.25,79.5,208.6,85.75,106.0,4.7,9.0,8.5,29.5,36.0,11.69,3.1,3.34,9,0.6,0.4,0.8,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.6,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
9,9,2013,203459,Allen Crabbe,SG,77.25,78.25,197.4,83.25,103.5,4.65,8.25,8.5,30.5,36.0,10.67,3.1,3.32,10,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8,0.8,0.6,0.6,0.6,0.8,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Draft,California,College/University,1.0
10,10,2013,203561,Brandon Davies,PF,80.5,82.25,241.8,85.5,108.5,8.6,9.0,11.0,26.0,31.5,11.22,3.14,3.5,7,0.6,0.6,0.8,0.6,0.8,0.2,0.8,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
11,11,2013,203473,Dewayne Dedmon,C,82.0,83.5,238.8,88.0,109.0,8.35,9.0,11.0,28.0,32.5,12.75,3.26,3.4,8,0.2,0.4,0.4,1.0,0.6,0.4,0.2,0.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
12,12,2013,203516,James Ennis,SF,77.75,79.0,200.8,83.5,104.5,4.5,8.5,8.75,29.5,36.5,11.55,3.06,3.4,7,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.6,0.6,0.4,0.4,0.6,0.4,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Draft,Long Beach State,College/University,1.0
13,13,2013,203467,Carrick Felix,SF-SG,76.75,78.25,202.6,81.25,103.5,3.3,8.5,9.5,32.0,38.5,11.16,3.09,3.25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Draft,Arizona State,College/University,1.0
14,14,2013,203497,Rudy Gobert,C,84.5,86.0,237.6,92.5,115.0,4.4,9.75,10.0,25.0,29.0,12.85,3.19,3.57,7,0.6,0.6,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Draft,Cholet Basket (France),Other Team/Club,1.0
15,15,2013,203462,Archie Goodwin,SG,75.75,77.25,189.0,81.5,102.0,4.55,8.5,9.0,30.0,36.0,10.75,3.41,3.27,1,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.4,0.4,0.8,0.6,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Draft,Kentucky,College/University,1.0
16,16,2013,203475,Erick Green,PG,73.5,75.0,178.2,77.75,98.0,4.35,8.5,9.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.2,0.8,0.6,0.6,0.6,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,Draft,Virginia Tech,College/University,1.0
