,game_id,player_id,jersey,team_id,team_city,team_name,team_abbreviation
38546,21300016,203492,3.0,1610612758,Sacramento,Kings,SAC
38557,21300004,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38572,21300009,203480,31.0,1610612766,Charlotte,Bobcats,CHA
38573,21300009,203477,1.0,1610612745,Houston,Rockets,HOU
38574,21300009,203496,33.0,1610612745,Houston,Rockets,HOU
38588,21300020,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38603,21300031,203492,3.0,1610612758,Sacramento,Kings,SAC
38608,21300025,203499,3.0,1610612742,Dallas,Mavericks,DAL
38611,21300025,203496,33.0,1610612745,Houston,Rockets,HOU
38612,21300025,203477,1.0,1610612745,Houston,Rockets,HOU
38614,21300040,203492,3.0,1610612758,Sacramento,Kings,SAC
38622,21300036,203499,3.0,1610612742,Dallas,Mavericks,DAL
38629,21300038,203496,33.0,1610612745,Houston,Rockets,HOU
38630,21300038,203477,1.0,1610612745,Houston,Rockets,HOU
38635,21300033,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38664,21300050,203477,1.0,1610612745,Houston,Rockets,HOU
38665,21300050,203496,33.0,1610612745,Houston,Rockets,HOU
38668,21300047,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38671,21300058,203477,1.0,1610612745,Houston,Rockets,HOU
38672,21300058,203496,33.0,1610612745,Houston,Rockets,HOU
38687,21300053,203491,34.0,1610612765,Detroit,Pistons,DET
38692,21300056,203499,3.0,1610612742,Dallas,Mavericks,DAL
38711,21300069,203499,3.0,1610612742,Dallas,Mavericks,DAL
38724,21300066,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38739,21300072,203477,1.0,1610612745,Houston,Rockets,HOU
38740,21300072,203496,33.0,1610612745,Houston,Rockets,HOU
38742,21300078,203491,34.0,1610612765,Detroit,Pistons,DET
38747,21300080,203499,3.0,1610612742,Dallas,Mavericks,DAL
38776,21300076,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38789,21300088,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38791,21300090,203477,1.0,1610612745,Houston,Rockets,HOU
38792,21300090,203496,33.0,1610612745,Houston,Rockets,HOU
38809,21300092,203499,3.0,1610612742,Dallas,Mavericks,DAL
38826,21300105,203491,34.0,1610612765,Detroit,Pistons,DET
38831,21300102,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38840,21300108,203499,3.0,1610612742,Dallas,Mavericks,DAL
38843,21300109,203491,34.0,1610612765,Detroit,Pistons,DET
38862,21300112,203477,1.0,1610612745,Houston,Rockets,HOU
38863,21300112,203496,33.0,1610612745,Houston,Rockets,HOU
38867,21300115,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
38885,21300121,203492,3.0,1610612758,Sacramento,Kings,SAC
38898,21300123,203477,1.0,1610612745,Houston,Rockets,HOU
38899,21300123,203496,33.0,1610612745,Houston,Rockets,HOU
38908,21300130,203499,3.0,1610612742,Dallas,Mavericks,DAL
38936,21300138,203467,30.0,1610612739,Cleveland,Cavaliers,CLE
